family,L,shape,kind,observer_id,analysis_role,is_primary_observer,observer_design_version,reduced_coords,r_obs_LLSS,d_clone,d_clone_proper,d_clone_improper,nearest_coset,nearest_orientation,nearest_element_type,nearest_lattice_coefficients,nearest_total_translation,nearest_alpha_deg,nearest_theta_deg,nearest_sense,nearest_element_search_covered,n_candidates_d_lt_1,n_covered_candidates,exclusion_witness_exists,exclusion_witness_coset,exclusion_witness_sense,exclusion_witness_element_type,exclusion_witness_lattice_coefficients,exclusion_witness_translation,exclusion_witness_d,exclusion_witness_alpha_deg,exclusion_witness_theta_deg,exclusion_witness_search,exclusion_witness_source_boundary,reported_0p985_margin,operational_distance_margin,operational_alpha_margin_deg,geometry_margin,threshold_boundary,geometric_status,observational_status
E2,1.2,"{""Lx"": 1.2, ""Ly"": 1.2, ""Lz"": 1.2}",anchor:half_turn_axis,-1,symmetry_anchor,False,anchor,"[0.0, 0.0]","[0.0, 0.0, 0.888]",1.2,1.2,inf,id,preserving,translation,"[1, 0, 0]","[1.2, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.21499999999999997,0.21519224698779194,,0.19999999999999996,False,no_nondegenerate_circles,no_nondegenerate_circles
E2,1.5,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}",observer,1,primary_observer,True,pilot_v2_reduced,"[0.2452274712376159, 0.3429926323318836]","[0.367841, 0.514489, 1.11]",1.5,1.5,inf,id,preserving,translation,"[1, 0, 0]","[1.5, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.515,0.515192246987792,,0.5,False,no_nondegenerate_circles,no_nondegenerate_circles
E2,1.5,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}",observer,2,primary_observer,True,pilot_v2_reduced,"[0.07150075549277313, 0.24162711619922894]","[0.107251, 0.362441, 1.11]",1.5,1.5,inf,id,preserving,translation,"[1, 0, 0]","[1.5, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.515,0.515192246987792,,0.5,False,no_nondegenerate_circles,no_nondegenerate_circles
E2,1.5,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}",observer,3,primary_observer,True,pilot_v2_reduced,"[0.8951290935216393, 0.2514647338918028]","[1.342694, 0.377197, 1.11]",1.5,1.5,inf,id,preserving,translation,"[1, 0, 0]","[1.5, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.515,0.515192246987792,,0.5,False,no_nondegenerate_circles,no_nondegenerate_circles
E2,1.5,"{""Lx"": 1.5, ""Ly"": 1.5, ""Lz"": 1.5}",anchor:half_turn_axis,-1,symmetry_anchor,False,anchor,"[0.0, 0.0]","[0.0, 0.0, 1.11]",1.5,1.5,inf,id,preserving,translation,"[1, 0, 0]","[1.5, 0.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.515,0.515192246987792,,0.5,False,no_nondegenerate_circles,no_nondegenerate_circles
E7,0.7,"{""LAx"": 0.7, ""LAy"": 0.0, ""L1y"": 0.7, ""L2x"": 0.0, ""L2z"": 0.7}",observer,1,primary_observer,True,pilot_v2_reduced,[0.11278702805018147],"[0.217, 0.078951, 0.294]",0.7,0.7,0.7175883157109856,id,preserving,translation,"[0, 1, 0]","[0.0, 0.7, 0.0]",45.5729959991943,180.0,anti_phased,True,12,8,True,id,anti_phased,translation,"[0, -1, 0]","[0.0, -0.7, 0.0]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
E7,0.7,"{""LAx"": 0.7, ""LAy"": 0.0, ""L1y"": 0.7, ""L2x"": 0.0, ""L2z"": 0.7}",observer,2,primary_observer,True,pilot_v2_reduced,[0.04504442885635738],"[0.217, 0.031531, 0.294]",0.7,0.7,0.7028348604893976,id,preserving,translation,"[0, 1, 0]","[0.0, 0.7, 0.0]",45.5729959991943,180.0,anti_phased,True,16,8,True,id,anti_phased,translation,"[0, -1, 0]","[0.0, -0.7, 0.0]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
E7,0.7,"{""LAx"": 0.7, ""LAy"": 0.0, ""L1y"": 0.7, ""L2x"": 0.0, ""L2z"": 0.7}",observer,3,primary_observer,True,pilot_v2_reduced,[0.17608175443077442],"[0.217, 0.123257, 0.294]",0.7,0.7,0.742138381379849,id,preserving,translation,"[0, 1, 0]","[0.0, 0.7, 0.0]",45.5729959991943,180.0,anti_phased,True,12,8,True,id,anti_phased,translation,"[0, -1, 0]","[0.0, -0.7, 0.0]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
E7,0.7,"{""LAx"": 0.7, ""LAy"": 0.0, ""L1y"": 0.7, ""L2x"": 0.0, ""L2z"": 0.7}",anchor:glide_plane,-1,symmetry_anchor,False,anchor,[0.0],"[0.217, 0.0, 0.294]",0.7,0.7,0.7,id,preserving,translation,"[0, 1, 0]","[0.0, 0.7, 0.0]",45.5729959991943,180.0,anti_phased,True,18,6,True,glide_A,phased,glide_reflection,"[-1, 0, 0]","[-0.7, 0.0, 0.0]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
E7,0.7,"{""LAx"": 0.7, ""LAy"": 0.0, ""L1y"": 0.7, ""L2x"": 0.0, ""L2z"": 0.7}",anchor:midpoint_symmetry,-1,symmetry_anchor,False,anchor,[0.25],"[0.217, 0.175, 0.294]",0.7,0.7,0.7826237921249264,id,preserving,translation,"[0, 1, 0]","[0.0, 0.7, 0.0]",45.5729959991943,180.0,anti_phased,True,12,8,True,id,anti_phased,translation,"[0, -1, 0]","[0.0, -0.7, 0.0]",0.7,45.5729959991943,180.0,vaudrevange2012,True,-0.28500000000000003,-0.28480775301220806,35.5729959991943,-0.30000000000000004,False,circles_geometrically_present,excluded_by_published_search
