case,quantile,s,P_ref,P_imhof,P_gilpelaez,gp_converged,gp_n,imhof_quad_err,imhof_warnings,abs_err_imhof,abs_err_gilpelaez,P_saddlepoint,mc_se,z_imhof,z_gilpelaez,imhof_vs_gilpelaez,imhof_vs_saddle
bstack_axis1134,0.05,327.2956609723966,0.05,0.04993424599884666,0.04993424640640265,True,5692,5.41512940843206e-09,0,,,0.05037215370393044,0.0002179449471770337,-0.30170004859039673,-0.3016981785952707,4.075559889571423e-10,0.00043790770508377735
bstack_axis1134,0.5,806.9291431726228,0.5,0.5001542533496153,0.5001542538695736,True,5692,4.062855103960457e-09,0,,,0.5035450957660589,0.0005,0.3085066992305485,0.3085077391471458,5.19958298639267e-10,0.003390842416443607
bstack_axis1134,0.95,1755.8023440592272,0.95,0.9498441745388957,0.9498441743589632,True,11179,6.604676823319348e-09,0,,,0.951289397925197,0.00021794494717703377,-0.7149762502990687,-0.7149770758860606,1.7993251333336957e-10,0.0014452233863012642
bstack_axis1134,0.99,2347.797446256708,0.99,0.9899956214914394,0.9899956227835767,True,14948,7.175546486631349e-09,0,,,0.9903645645804213,9.949874371066204e-05,-0.04400566677848845,-0.04399268031013851,1.292137286057482e-09,0.0003689430889819434
bstack_axis1134,0.999,3177.899310877746,0.999,0.9989958706920059,0.9989958710417656,True,20233,6.545524873309304e-09,0,,,0.999033760491242,3.1606961258558234e-05,-0.13064552331730278,-0.13063445741119392,3.497596656742985e-10,3.788979923613489e-05
bstack_axis777,0.001,148.2794604326251,0.001,0.0009477443917880746,0.0009477443915583139,True,6376,2.2735697478677008e-10,0,,,0.0009558280075626157,3.160696125855822e-05,-1.6532942785752993,-1.653294285844605,2.2976065494617615e-13,8.08361577454115e-06
bstack_axis777,0.01,243.56765597922993,0.01,0.009867678553147963,0.009867678609399078,True,6376,4.498952425873272e-11,0,,,0.009955244083094594,9.9498743710662e-05,-1.329880578561097,-1.329880013216121,5.6251114877170494e-11,8.756552994663123e-05
bstack_axis777,0.05,367.78629189372776,0.05,0.04994816406075031,0.04994816409683683,True,6376,4.148623108042844e-09,0,,,0.050414408202757416,0.0002179449471770337,-0.23783960087675887,-0.2378394353004373,3.6086522658962394e-11,0.00046624414200710507
bstack_axis777,0.5,900.9999896508809,0.5,0.49994564323382845,0.4999456431466775,True,6376,2.645042156367065e-09,0,,,0.5042237224681517,0.0005,-0.10871353234309655,-0.1087137066450028,8.715095312084031e-11,0.004278079234323273
bstack_axis777,0.95,1976.1385029627324,0.95,0.9499594921711421,0.9499594922017104,True,12582,6.704232327606875e-09,0,,,0.9519282470652074,0.00021794494717703377,-0.18586266569873813,-0.1858625254416409,3.056832564851675e-11,0.0019687548940653388
bstack_axis777,0.99,2655.5713754749595,0.99,0.9899511816146314,0.9899511814557104,True,16907,6.09184612853228e-09,0,,,0.9904329221505838,9.949874371066204e-05,-0.4906432337537209,-0.4906448309697415,1.5892098748082617e-10,0.00048174053595240185
bstack_axis777,0.999,3641.4625244870713,0.999,0.9990338029732238,0.9990338030464077,True,23184,6.288497179799845e-09,0,,,0.9990696061759221,3.1606961258558234e-05,1.06947874385103,1.0694810592872652,7.3183903381846e-11,3.5803202698359016e-05
