family,size_id,L,point_index,is_frozen_anchor,observer_id,reduced_coords,r_obs_LLSS,d_clone,d_clone_proper,d_clone_improper,nearest_coset,nearest_element_type,nearest_alpha_deg,nearest_theta_deg,n_candidates_d_lt_1,exclusion_witness_exists,geometric_status,observational_status,prior_weight,shape
E7,L1.00,1.0,1,True,1,[0.04504442885635738],"[0.31, 0.045044, 0.42]",1.0,1.0,1.0040498006991394,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,2,True,2,[0.17608175443077442],"[0.31, 0.176082, 0.42]",1.0,1.0,1.0601976876854988,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,3,False,3,[0.23],"[0.31, 0.23, 0.42]",1.0,1.0,1.100727032465361,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,4,False,4,[0.0789],"[0.31, 0.0789, 0.42]",1.0,1.0,1.0123738637479733,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,5,False,5,[0.1444],"[0.31, 0.1444, 0.42]",1.0,1.0,1.040867638078925,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,6,False,6,[0.203],"[0.31, 0.203, 0.42]",1.0,1.0,1.0792756830393242,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,7,False,7,[0.02],"[0.31, 0.02, 0.42]",1.0,1.0,1.0007996802557444,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,8,False,8,[0.062],"[0.31, 0.062, 0.42]",1.0,1.0,1.007658672368774,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,9,False,9,[0.09580000000000001],"[0.31, 0.0958, 0.42]",1.0,1.0,1.018189844773557,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,10,False,10,[0.12860000000000002],"[0.31, 0.1286, 0.42]",1.0,1.0,1.032546289519264,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.00,1.0,11,False,11,[0.1602],"[0.31, 0.1602, 0.42]",1.0,1.0,1.0500743592717612,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}"
E7,L1.20,1.2,0,True,0,[0.11278702805018147],"[0.372, 0.135344, 0.504]",1.2,1.2,1.2301513983616896,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,1,True,1,[0.04504442885635738],"[0.372, 0.054053, 0.504]",1.2,1.2,1.2048597608389675,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,2,True,2,[0.17608175443077442],"[0.372, 0.211298, 0.504]",1.2,1.2,1.2722372252225984,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,3,False,3,[0.23],"[0.372, 0.276, 0.504]",1.2,1.2,1.3208724389584332,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
