case,d,residual,residual_ok,box_checked,box_size,box_min,box_ok,cond,sigma_min
144,0.44197238294681296,0.4419723829468129,True,True,36,0.4419723829468129,True,4.082565607270889,0.7063679054476825
145,0.41724978704502574,0.41724978704502574,True,True,80,0.41724978704502574,True,8.568116289495682,0.33075468792371004
146,0.7469077719819437,0.7469077719819437,True,True,36,0.7469077719819437,True,1.6454568025785137,1.074170375834602
147,0.3450555313079025,0.3450555313079026,True,True,64,0.3450555313079026,True,4.428255715337427,0.38752714031658964
148,0.8128582293030943,0.8128582293030943,True,True,48,0.8128582293030943,True,1.9982023324235398,0.9487324765624576
149,0.36007483256678174,0.3600748325667817,True,True,100,0.3600748325667817,True,3.883215043115517,0.30883386344572655
150,0.970842970176217,0.970842970176217,True,True,252,0.970842970176217,True,5.020498688937011,0.40519903329593504
151,0.538158470676173,0.5381584706761727,True,True,729,0.5381584706761727,True,17.3570054532733,0.154091421010458
152,0.7070727424856013,0.7070727424856013,True,True,48,0.7070727424856013,True,1.504150300547204,0.8727151404538978
153,0.5962387744197959,0.5962387744197959,True,True,27,0.5962387744197959,True,1.938075621104769,1.1933130517107318
154,0.8703015311181443,0.8703015311181443,True,True,64,0.8703015311181443,True,1.8959702749936873,0.943318999349795
155,0.7912059600782366,0.7912059600782366,True,True,100,0.7912059600782366,True,3.201676765234906,0.6014250002678682
156,0.5861674938531343,0.5861674938531343,True,True,36,0.5861674938531343,True,3.734289839719661,0.7035652664054314
157,0.6746116662711021,0.6746116662711021,True,True,36,0.6746116662711021,True,1.3338442621335846,1.0877500484749507
158,0.5885877354020874,0.5885877354020874,True,True,36,0.5885877354020874,True,2.434153717982514,0.8462260894798701
159,0.36889240141886875,0.36889240141886875,True,True,27,0.36889240141886875,True,2.456093483269564,0.672711280201326
160,0.8393095334762662,0.8393095334762662,True,True,64,0.8393095334762662,True,2.4221818596086107,0.8484843978807641
161,0.8738125990974985,0.8738125990974985,True,True,36,0.8738125990974985,True,1.8035566236875176,1.258103317355245
162,0.6443887013911571,0.644388701391157,True,True,36,0.644388701391157,True,3.321917841859723,0.8394458803220104
163,1.013518710763913,1.013518710763913,True,True,80,1.013518710763913,True,3.5692220693466354,0.8163519182674998
164,0.4428120535543935,0.44281205355439357,True,True,125,0.44281205355439357,True,7.294067625962455,0.2975867106328939
165,0.42559703947630456,0.4255970394763043,True,True,80,0.4255970394763043,True,6.273005368766741,0.3622124146300272
166,0.3812739405640067,0.38127394056400665,True,True,36,0.38127394056400665,True,3.5470557861873124,0.5572683013923945
167,0.54087614139479,0.54087614139479,True,True,27,0.54087614139479,True,1.4146001165770015,1.2790932052621435
168,0.09622269870904963,0.09622269870904963,True,True,27,0.09622269870904963,True,2.7119773208170064,0.5649870656197497
169,0.8078582933131846,0.8078582933131843,True,True,27,0.8078582933131843,True,1.397361121762913,1.4183782481698994
170,0.2701216833442137,0.2701216833442138,True,True,448,0.2701216833442138,True,25.96167106327155,0.09803484405557886
171,0.2858474614462343,0.28584746144623446,True,True,48,0.28584746144623446,True,6.678866879004884,0.2965967761488055
172,0.6115704193474595,0.6115704193474594,True,True,125,0.6115704193474594,True,6.262095014536197,0.455632006328756
173,0.33118131159117875,0.33118131159117864,True,True,150,0.33118131159117864,True,7.73152257966918,0.1854853819880262
174,0.7784862574194181,0.7784862574194183,True,True,216,0.7784862574194183,True,5.194442945658929,0.41399457170126364
175,0.08523057066564087,0.08523057066564087,True,True,27,0.08523057066564087,True,2.820340923649352,0.608195123419163
176,0.5406251898138156,0.5406251898138156,True,True,48,0.5406251898138156,True,3.6228381090365445,0.6431793408212934
177,0.4476433966586705,0.4476433966586705,True,True,64,0.4476433966586705,True,4.266557881965938,0.46276452351116093
178,0.5493476498314432,0.5493476498314432,True,True,150,0.5493476498314432,True,4.624887605400446,0.30192259012393136
179,1.1387461495392186,1.1387461495392186,True,True,64,1.1387461495392186,True,2.970528216431697,0.9703108574011117
