family,shape,d_nearest,theta_nearest,g2_identity_ok,theta_ge_60,nearest_class,all_element_class,agree
E2,"{""Lx"": 1.1044045532757472, ""Ly"": 0.5102963239729004, ""Lz"": 0.9136841563865594}",0.5102963239729004,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 1.1562013259115425, ""Ly"": 1.04670259362844, ""Lz"": 0.2650278557884669}",0.5300557115769338,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.8942920442637265, ""Ly"": 0.4710700657865921, ""Lz"": 1.110871369675469}",0.4710700657865921,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.5266416066683657, ""Ly"": 0.5058911594782314, ""Lz"": 0.5907722301475247}",0.5058911594782314,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.8511438542031178, ""Ly"": 1.203118715477525, ""Lz"": 0.39646926143710304}",0.4504395452038341,123.32890970371253,True,True,excluded,excluded,True
E2,"{""Lx"": 1.1402962845494968, ""Ly"": 0.7209292479574327, ""Lz"": 1.29342099587996}",0.7209292479574327,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.9361003667330066, ""Ly"": 0.5211457871091036, ""Lz"": 0.759099144182628}",0.5211457871091036,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 1.0419791373572342, ""Ly"": 1.1312003882435642, ""Lz"": 0.7138450971546881}",0.7294224942123205,156.27526168839054,True,True,excluded,excluded,True
E2,"{""Lx"": 0.6776965298230173, ""Ly"": 1.0361816878006862, ""Lz"": 0.31176468711393795}",0.4870977276546407,79.59041821433954,True,True,excluded,excluded,True
E2,"{""Lx"": 1.0057596653213183, ""Ly"": 0.6958752212087089, ""Lz"": 0.9643583852153463}",0.6958752212087089,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.3874120742759259, ""Ly"": 0.5523770199578857, ""Lz"": 0.5170941558366349}",0.3874120742759259,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.6043055867035556, ""Ly"": 1.2674682561397024, ""Lz"": 1.1394076854348671}",0.6043055867035556,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.38668230670066345, ""Ly"": 0.8771735655811645, ""Lz"": 1.2459278238930405}",0.38668230670066345,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 1.1105962654289663, ""Ly"": 0.34978625012358294, ""Lz"": 1.014157557504424}",0.34978625012358294,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 1.002559389205512, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.8233640412375589, ""LCy"": 1.1119717671691935}",0.8818348263596519,138.03638741671415,True,True,excluded,excluded,True
E8,"{""LAx"": 0.6934675561080571, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.8350740799987659, ""LCy"": 0.4652362014194267}",0.4652362014194267,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.5520476336076419, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.7773154989293385, ""LCy"": 0.5592767287729434}",0.5592767287729434,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.366109629086501, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.5265573238271641, ""LCy"": 0.7381777585237637}",0.5108898987742722,91.55086399283886,True,True,excluded,excluded,True
E8,"{""LAx"": 0.715984960581271, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.9712723775480359, ""LCy"": 0.4691113822007029}",0.4691113822007029,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 1.077377056563334, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.1049511996483576, ""LCy"": 0.9230054481915251}",0.9230054481915251,180.0,True,True,excluded,excluded,True
