sample,axis_3072,axis_1536,antipode_of_3072,same_plane,Sp_diff_axis_vs_antipode,S_min_3072,S_min_1536
fresh_108,1165,1165,1901,True,0.0,367.695068359375,367.695068359375
fresh_109,215,215,2867,True,0.0,367.72100830078125,367.72100830078125
fresh_110,931,931,2115,True,0.0,340.5920104980469,340.5920104980469
fresh_111,1056,1056,1984,True,0.1241455078125,426.2749328613281,426.2749328613281
fresh_112,1201,1201,1873,True,0.0,419.2652282714844,419.2652282714844
fresh_113,48,48,3030,True,0.0,439.4275207519531,439.4275207519531
fresh_114,753,753,2321,True,0.0,367.9302062988281,367.9302062988281
fresh_115,194,194,2886,True,0.0,414.12261962890625,414.12261962890625
fresh_116,26,26,3042,True,0.0,393.501220703125,393.501220703125
fresh_117,1329,1329,1745,True,0.0,264.0084228515625,264.0084228515625
fresh_118,73,73,2989,True,0.0,367.34588623046875,367.34588623046875
fresh_119,82,82,2998,True,0.0,479.8451843261719,479.8451843261719
fresh_120,1100,1100,1964,True,0.0,294.27642822265625,294.27642822265625
fresh_121,108,108,2970,True,0.0,428.36224365234375,428.36224365234375
fresh_122,1000,1000,2056,True,0.033355712890625,263.65435791015625,263.65435791015625
fresh_123,251,251,2817,True,0.0,287.61541748046875,287.61541748046875
fresh_124,83,83,2999,True,0.0,285.5523986816406,285.5523986816406
fresh_125,1363,1363,1715,True,0.0,274.20611572265625,274.20611572265625
fresh_126,1146,1146,1946,True,0.0,240.04188537597656,240.04188537597656
fresh_127,42,42,3024,True,0.0,352.70404052734375,352.70404052734375
fresh_128,1239,1239,1847,True,0.0,368.0677185058594,368.0677185058594
fresh_129,127,127,2959,True,0.0,436.91815185546875,436.91815185546875
fresh_130,339,339,2709,True,0.0,319.3817443847656,319.3817443847656
fresh_131,1027,1027,2019,True,0.0,452.5850830078125,452.5850830078125
fresh_132,342,342,2712,True,0.0,374.1545104980469,374.1545104980469
fresh_133,1015,1015,2071,True,0.0,194.38368225097656,194.38368225097656
fresh_134,1277,1277,1821,True,0.0,449.41650390625,449.41650390625
fresh_135,40,40,3022,True,0.0,445.7789001464844,445.7789001464844
fresh_136,458,458,2600,True,0.0,369.8243103027344,369.8243103027344
fresh_137,99,99,2961,True,0.0,408.6763610839844,408.6763610839844
fresh_138,1229,1229,1837,True,0.0,313.34600830078125,313.34600830078125
fresh_139,5,5,3065,True,0.0,392.8140869140625,392.8140869140625
fresh_140,1230,1230,1838,True,0.0,322.22906494140625,322.22906494140625
fresh_141,239,239,2849,True,0.0,321.6980285644531,321.6980285644531
fresh_142,255,255,2821,True,0.0,450.0775146484375,450.0775146484375
fresh_143,141,141,2941,True,0.0,335.72930908203125,335.72930908203125
fresh_144,192,192,2884,True,0.0,576.9765625,576.9765625
fresh_145,1022,1022,2078,True,0.0,472.1190185546875,472.1190185546875
fresh_146,1074,1074,2002,True,0.0,520.7185668945312,520.7185668945312
fresh_147,1159,1159,1895,True,0.0,461.6605224609375,461.6605224609375
fresh_148,882,882,2194,True,0.0,291.58294677734375,291.58294677734375
fresh_149,1261,1261,1805,True,0.0,369.6516418457031,369.6516418457031
fresh_150,2325,757,757,True,0.640167236328125,419.52362060546875,420.1637878417969
fresh_151,936,936,2120,True,0.0,380.9185485839844,380.9185485839844
fresh_152,999,999,2055,True,0.1861572265625,372.0485534667969,372.0485534667969
fresh_153,659,659,2419,True,0.0,353.8104248046875,353.8104248046875
fresh_154,1302,1302,1782,True,0.0,330.532958984375,330.532958984375
fresh_155,901,901,2149,True,0.0,284.4038391113281,284.4038391113281
fresh_156,713,713,2345,True,0.0,277.1859436035156,277.1859436035156
fresh_157,757,757,2325,True,0.007598876953125,298.78009033203125,298.78009033203125
fresh_158,99,99,2961,True,0.0,397.57598876953125,397.57598876953125
fresh_159,73,73,2989,True,0.0,277.5246276855469,277.5246276855469
fresh_160,57,57,3019,True,0.0,300.4464416503906,300.4464416503906
fresh_161,929,929,2113,True,0.0,391.0034484863281,391.0034484863281
fresh_162,1461,1461,1621,True,0.0,502.5461730957031,502.5461730957031
fresh_163,403,403,2663,True,0.0,252.44540405273438,252.44540405273438
fresh_164,684,684,2380,True,0.0,405.442138671875,405.442138671875
fresh_165,5,5,3065,True,0.0,354.45733642578125,354.45733642578125
fresh_166,1076,1076,2004,True,0.0,452.1646423339844,452.1646423339844
fresh_167,353,353,2723,True,0.0,410.9229431152344,410.9229431152344
fresh_168,1292,1292,1772,True,0.0,278.0016174316406,278.0016174316406
fresh_169,1285,1285,1765,True,0.0,334.72772216796875,334.72772216796875
fresh_170,54,54,3016,True,0.0,381.1376647949219,381.1376647949219
fresh_171,126,126,2958,True,0.0,517.3368530273438,517.3368530273438
fresh_172,58,58,3020,True,0.0,338.4225158691406,338.4225158691406
fresh_173,398,398,2658,True,0.0,266.0510559082031,266.0510559082031
fresh_174,1389,1389,1677,True,0.0,357.6561279296875,357.6561279296875
fresh_175,130,130,2930,True,0.0,341.08819580078125,341.08819580078125
fresh_176,22,22,3052,True,0.0,319.7762145996094,319.7762145996094
fresh_177,1443,1443,1603,True,0.0,425.6988830566406,425.6988830566406
fresh_178,7,7,3067,True,0.0,325.6739807128906,325.6739807128906
fresh_179,107,107,2969,True,0.0,387.3726806640625,387.3726806640625
fresh_180,1283,1283,1763,True,0.0,248.0429229736328,248.0429229736328
fresh_181,205,205,2857,True,0.0,432.8498840332031,432.8498840332031
fresh_182,400,400,2660,True,0.0,238.8804168701172,238.8804168701172
fresh_183,325,325,2747,True,0.0,283.3785705566406,283.3785705566406
fresh_184,407,407,2667,True,0.0,442.9883117675781,442.9883117675781
fresh_185,1233,1233,1841,True,0.0,436.26458740234375,436.26458740234375
fresh_186,94,94,2984,True,0.0,327.03607177734375,327.03607177734375
fresh_187,77,77,2993,True,0.0,516.96044921875,516.96044921875
fresh_188,348,348,2718,True,0.0,328.83441162109375,328.83441162109375
fresh_189,404,404,2664,True,0.0,335.85369873046875,335.85369873046875
fresh_190,871,871,2183,True,0.0,211.89718627929688,211.89718627929688
fresh_191,101,101,2963,True,0.0,356.9026184082031,356.9026184082031
fresh_192,603,603,2491,True,0.0,309.69049072265625,309.69049072265625
fresh_193,592,592,2480,True,0.666778564453125,330.732177734375,330.732177734375
fresh_194,69,69,3009,True,0.0,436.0576477050781,436.0576477050781
fresh_195,90,90,2980,True,0.0,415.95416259765625,415.95416259765625
fresh_196,821,821,2261,True,0.0,336.5885314941406,336.5885314941406
fresh_197,564,564,2516,True,0.0,356.2317810058594,356.2317810058594
fresh_198,44,44,3026,True,0.0,525.1356811523438,525.1356811523438
fresh_199,200,200,2852,True,0.0,390.3572998046875,390.3572998046875
fresh_200,270,270,2790,True,0.0,427.615966796875,427.615966796875
fresh_201,47,47,3029,True,0.0,312.5715637207031,312.5715637207031
fresh_202,663,663,2423,True,0.0,493.10906982421875,493.10906982421875
fresh_203,71,71,3011,True,0.0,399.531982421875,399.531982421875
fresh_204,74,74,2990,True,0.0,296.5911865234375,296.5911865234375
fresh_205,100,100,2962,True,0.0,343.9705505371094,343.9705505371094
fresh_206,394,394,2654,True,0.0,369.2687072753906,369.2687072753906
fresh_207,1453,1453,1613,True,0.0,434.8788146972656,434.8788146972656
fresh_208,73,73,2989,True,0.0,512.840576171875,512.840576171875
fresh_209,80,80,2996,True,0.0,269.327392578125,269.327392578125
fresh_210,1428,1428,1652,True,0.0,370.1781005859375,370.1781005859375
fresh_211,461,461,2603,True,0.0,309.92535400390625,309.92535400390625
fresh_212,560,560,2512,True,0.379241943359375,442.92559814453125,442.92559814453125
fresh_213,585,585,2473,True,0.0,321.705322265625,321.705322265625
fresh_214,128,128,2928,True,0.0,333.40753173828125,333.40753173828125
fresh_215,433,433,2635,True,0.0,350.96826171875,350.96826171875
fresh_216,10,10,3062,True,0.0,339.715087890625,339.715087890625
fresh_217,67,67,3007,True,0.0,254.28782653808594,254.28782653808594
fresh_218,1401,1401,1689,True,0.0,445.818359375,445.818359375
fresh_219,141,141,2941,True,0.0,395.25048828125,395.25048828125
fresh_220,128,128,2928,True,0.0,350.0792541503906,350.0792541503906
fresh_221,881,881,2193,True,0.0,323.5281982421875,323.5281982421875
fresh_222,1140,1140,1940,True,0.0,369.8147277832031,369.8147277832031
fresh_223,15,15,3057,True,0.0,302.71954345703125,302.71954345703125
fresh_224,298,298,2770,True,0.0,590.3187255859375,590.3187255859375
fresh_225,12,12,3054,True,0.0,342.747314453125,342.747314453125
fresh_226,585,585,2473,True,0.0,334.14105224609375,334.14105224609375
fresh_227,870,870,2182,True,0.0,464.2337646484375,464.2337646484375
fresh_228,1231,1231,1839,True,0.0,418.0431213378906,418.0431213378906
fresh_229,554,554,2506,True,0.0,290.3388366699219,290.3388366699219
fresh_230,52,52,3014,True,0.0,248.55679321289062,248.55679321289062
fresh_231,77,77,2993,True,0.0,280.25042724609375,280.25042724609375
fresh_232,489,489,2569,True,0.0,383.13134765625,383.13134765625
fresh_233,50,50,3012,True,0.0,366.1809997558594,366.1809997558594
fresh_234,739,739,2307,True,0.324127197265625,426.4635925292969,426.4635925292969
fresh_235,78,78,2994,True,0.0,325.0361328125,325.0361328125
fresh_236,74,74,2990,True,0.0,434.4117736816406,434.4117736816406
fresh_237,196,196,2888,True,0.0,384.6753234863281,384.6753234863281
fresh_238,1269,1269,1813,True,0.0,420.35870361328125,420.35870361328125
fresh_239,1389,1389,1677,True,0.0,338.9471740722656,338.9471740722656
fresh_240,229,229,2839,True,0.0,328.59661865234375,328.59661865234375
fresh_241,1357,1357,1709,True,0.0,450.62432861328125,450.62432861328125
fresh_242,808,808,2248,True,0.0,276.63177490234375,276.63177490234375
fresh_243,945,945,2129,True,0.0,352.6635437011719,352.6635437011719
fresh_244,22,22,3052,True,0.0,336.8168640136719,336.8168640136719
fresh_245,452,452,2594,True,0.0,350.0668029785156,350.0668029785156
fresh_246,209,209,2861,True,0.0,423.3072509765625,423.3072509765625
fresh_247,27,27,3043,True,0.0,357.6999816894531,357.6999816894531
fresh_248,719,719,2351,True,0.0,368.8916015625,368.8916015625
fresh_249,25,25,3041,True,0.0,403.2115783691406,403.2115783691406
fresh_250,1127,1127,1927,True,0.0,371.7154235839844,371.7154235839844
fresh_251,241,241,2851,True,0.0,328.05902099609375,328.05902099609375
fresh_252,1104,1104,1968,True,0.251251220703125,334.044921875,334.044921875
fresh_253,743,743,2311,True,0.1806640625,398.5942077636719,398.5942077636719
fresh_254,98,98,2960,True,0.0,459.4654846191406,459.4654846191406
fresh_255,14,14,3056,True,0.0,239.58387756347656,239.58387756347656
fresh_256,811,811,2251,True,0.0,366.6031494140625,366.6031494140625
fresh_257,98,98,2960,True,0.0,376.7471923828125,376.7471923828125
fresh_258,27,27,3043,True,0.0,571.4461059570312,571.4461059570312
fresh_259,316,316,2738,True,0.0,415.5013122558594,415.5013122558594
fresh_260,1389,1389,1677,True,0.0,462.4452819824219,462.4452819824219
fresh_261,975,975,2095,True,0.0,384.7118835449219,384.7118835449219
fresh_262,133,133,2933,True,0.0,340.2862548828125,340.2862548828125
fresh_263,570,570,2522,True,0.0,624.6704711914062,624.6704711914062
fresh_264,1242,1242,1850,True,0.0,330.2953796386719,330.2953796386719
fresh_265,140,140,2940,True,0.0,495.0504150390625,495.0504150390625
fresh_266,1264,1264,1808,True,0.0,458.57293701171875,458.57293701171875
fresh_267,680,680,2376,True,0.0,424.644775390625,424.644775390625
fresh_268,54,54,3016,True,0.0,597.7214965820312,597.7214965820312
fresh_269,1217,1217,1825,True,0.0,366.75244140625,366.75244140625
fresh_270,883,883,2195,True,0.0,447.3516540527344,447.3516540527344
fresh_271,336,336,2758,True,0.0,300.5725402832031,300.5725402832031
